Imports Successful!
Net Init Complete.
RecordIter Setup Done.
<class 'mxnet.io.io.MXDataIter'>
<class 'mxnet.io.io.MXDataIter'>
Creating Data Loaders
<class '__main__.DataIterLoader'>
<class '__main__.DataIterLoader'>
Training Loop Started:
Epoch[0] Batch [49]:	Speed: 234.660207 samples/sec	top1-err=0.998437	top5-err=0.992500	train_loss=23616.823334
Epoch[0] Batch [99]:	Speed: 321.062415 samples/sec	top1-err=0.999062	top5-err=0.994062	train_loss=45951.472992
Epoch[0] Batch [149]:	Speed: 319.028593 samples/sec	top1-err=0.998958	top5-err=0.993958	train_loss=68097.849823
Epoch[0] Batch [199]:	Speed: 320.738525 samples/sec	top1-err=0.998828	top5-err=0.994375	train_loss=90247.126709
Epoch[0] Batch [249]:	Speed: 320.118605 samples/sec	top1-err=0.998875	top5-err=0.994188	train_loss=112372.825836
Epoch[0] Batch [299]:	Speed: 320.120368 samples/sec	top1-err=0.998646	top5-err=0.993854	train_loss=134466.358917
Epoch[0] Batch [349]:	Speed: 319.685627 samples/sec	top1-err=0.998705	top5-err=0.993527	train_loss=156537.146698
Epoch[0] Batch [399]:	Speed: 318.999158 samples/sec	top1-err=0.998789	top5-err=0.993125	train_loss=178601.633942
Epoch[0] Batch [449]:	Speed: 319.408566 samples/sec	top1-err=0.998785	top5-err=0.992604	train_loss=200561.639923
Epoch[0] Batch [499]:	Speed: 318.951278 samples/sec	top1-err=0.998656	top5-err=0.992344	train_loss=222508.936646
Epoch[0] Batch [549]:	Speed: 317.269164 samples/sec	top1-err=0.998580	top5-err=0.992188	train_loss=244376.061554
Epoch[0] Batch [599]:	Speed: 318.034818 samples/sec	top1-err=0.998464	top5-err=0.991771	train_loss=266244.255402
Epoch[0] Batch [649]:	Speed: 319.573057 samples/sec	top1-err=0.998413	top5-err=0.991418	train_loss=288016.312592
Epoch[0] Batch [699]:	Speed: 318.897935 samples/sec	top1-err=0.998281	top5-err=0.990848	train_loss=309756.202637
Epoch[0] Batch [749]:	Speed: 318.756136 samples/sec	top1-err=0.997938	top5-err=0.990271	train_loss=331462.371307
Epoch[0] Batch [799]:	Speed: 318.738960 samples/sec	top1-err=0.997949	top5-err=0.990078	train_loss=353134.921448
Epoch[0] Batch [849]:	Speed: 297.182179 samples/sec	top1-err=0.997794	top5-err=0.989706	train_loss=374760.006744
Epoch[0] Batch [899]:	Speed: 317.872937 samples/sec	top1-err=0.997726	top5-err=0.989271	train_loss=396325.716827
Epoch[0] Batch [949]:	Speed: 316.867036 samples/sec	top1-err=0.997632	top5-err=0.988832	train_loss=417789.607635
Epoch[0] Batch [999]:	Speed: 317.583609 samples/sec	top1-err=0.997469	top5-err=0.988406	train_loss=439202.030182
Epoch[0] Batch [1049]:	Speed: 317.401034 samples/sec	top1-err=0.997321	top5-err=0.987753	train_loss=460512.831909
Epoch[0] Batch [1099]:	Speed: 317.219501 samples/sec	top1-err=0.997315	top5-err=0.987429	train_loss=481880.081757
Epoch[0] Batch [1149]:	Speed: 317.023940 samples/sec	top1-err=0.997215	top5-err=0.986997	train_loss=503131.487671
Epoch[0] Batch [1199]:	Speed: 316.684275 samples/sec	top1-err=0.997018	top5-err=0.986471	train_loss=524412.297577
Epoch[0] Batch [1249]:	Speed: 317.822964 samples/sec	top1-err=0.996900	top5-err=0.986100	train_loss=545609.590942
Epoch[0] Batch [1299]:	Speed: 317.751567 samples/sec	top1-err=0.996707	top5-err=0.985589	train_loss=566777.915741
Epoch[0] Batch [1349]:	Speed: 317.898407 samples/sec	top1-err=0.996586	top5-err=0.985093	train_loss=587894.981964
Epoch[0] Batch [1399]:	Speed: 316.873844 samples/sec	top1-err=0.996440	top5-err=0.984475	train_loss=608980.633087
Epoch[0] Batch [1449]:	Speed: 316.916574 samples/sec	top1-err=0.996347	top5-err=0.984009	train_loss=630038.416656
Epoch[0] Batch [1499]:	Speed: 317.118911 samples/sec	top1-err=0.996208	top5-err=0.983594	train_loss=650975.891357
Epoch[0] Batch [1549]:	Speed: 317.339752 samples/sec	top1-err=0.996109	top5-err=0.982994	train_loss=671779.677429
Epoch[0] Batch [1599]:	Speed: 316.940170 samples/sec	top1-err=0.995928	top5-err=0.982324	train_loss=692538.261200
Epoch[0] Batch [1649]:	Speed: 291.437397 samples/sec	top1-err=0.995814	top5-err=0.981951	train_loss=713313.031464
Epoch[0] Batch [1699]:	Speed: 317.790192 samples/sec	top1-err=0.995699	top5-err=0.981351	train_loss=734038.689636
Epoch[0] Batch [1749]:	Speed: 316.836839 samples/sec	top1-err=0.995518	top5-err=0.980598	train_loss=754711.692291
Epoch[0] Batch [1799]:	Speed: 317.027766 samples/sec	top1-err=0.995408	top5-err=0.980052	train_loss=775329.063782
Epoch[0] Batch [1849]:	Speed: 317.474249 samples/sec	top1-err=0.995270	top5-err=0.979519	train_loss=795823.715515
Epoch[0] Batch [1899]:	Speed: 317.962798 samples/sec	top1-err=0.995132	top5-err=0.978832	train_loss=816161.027466
Epoch[0] Batch [1949]:	Speed: 317.150135 samples/sec	top1-err=0.994920	top5-err=0.978269	train_loss=836568.873077
Epoch[0] Batch [1999]:	Speed: 317.466177 samples/sec	top1-err=0.994703	top5-err=0.977641	train_loss=856899.381378
Epoch[0] Batch [2049]:	Speed: 316.885530 samples/sec	top1-err=0.994558	top5-err=0.976997	train_loss=877153.526398
Epoch[0] Batch [2099]:	Speed: 317.068456 samples/sec	top1-err=0.994494	top5-err=0.976600	train_loss=897510.584229
Epoch[0] Batch [2149]:	Speed: 318.096549 samples/sec	top1-err=0.994288	top5-err=0.976061	train_loss=917726.194489
Epoch[0] Batch [2199]:	Speed: 318.091747 samples/sec	top1-err=0.994176	top5-err=0.975547	train_loss=937869.336029
Epoch[0] Batch [2249]:	Speed: 317.636153 samples/sec	top1-err=0.993986	top5-err=0.974889	train_loss=957954.126526
Epoch[0] Batch [2299]:	Speed: 316.961756 samples/sec	top1-err=0.993852	top5-err=0.974355	train_loss=978099.026306
Epoch[0] Batch [2349]:	Speed: 317.213128 samples/sec	top1-err=0.993664	top5-err=0.973684	train_loss=998126.889648
Epoch[0] Batch [2399]:	Speed: 316.964248 samples/sec	top1-err=0.993529	top5-err=0.973242	train_loss=1018124.602173
Epoch[0] Batch [2449]:	Speed: 317.204320 samples/sec	top1-err=0.993367	top5-err=0.972583	train_loss=1037974.624359
Epoch[0] Batch [2499]:	Speed: 315.614050 samples/sec	top1-err=0.993225	top5-err=0.972094	train_loss=1057904.423737
Epoch[0] Batch [2549]:	Speed: 317.328025 samples/sec	top1-err=0.993143	top5-err=0.971556	train_loss=1077690.723785
Epoch[0] Batch [2599]:	Speed: 317.435971 samples/sec	top1-err=0.992975	top5-err=0.970962	train_loss=1097427.253235
