Imports successful
Model Init Done.
Preprocessing Step Successful.
Initialization of train_data and val_data successful.
Per Device Batch Size: 256
Using adam Optimizer
{'learning_rate': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'epsilon': 1e-07}
Training loop started for 120 epochs:
[Epoch 0] train=0.160236 val_top1=0.218900 val_top5=0.585100 loss=140155.675903 time: 30.012397
[Epoch 1] train=0.271534 val_top1=0.294200 val_top5=0.701100 loss=117317.385803 time: 29.955236
[Epoch 2] train=0.346595 val_top1=0.365600 val_top5=0.773100 loss=104408.301819 time: 29.875078
[Epoch 3] train=0.403646 val_top1=0.392800 val_top5=0.782300 loss=94465.513550 time: 29.702908
[Epoch 4] train=0.446534 val_top1=0.440900 val_top5=0.829100 loss=87477.768860 time: 29.938751
[Epoch 5] train=0.479227 val_top1=0.469600 val_top5=0.846300 loss=81844.811584 time: 30.024769
[Epoch 6] train=0.508634 val_top1=0.500000 val_top5=0.850700 loss=77500.872284 time: 29.877383
[Epoch 7] train=0.534455 val_top1=0.542600 val_top5=0.881500 loss=73345.180420 time: 29.855788
[Epoch 8] train=0.553045 val_top1=0.533200 val_top5=0.876200 loss=69745.609375 time: 29.846285
[Epoch 9] train=0.572596 val_top1=0.547200 val_top5=0.882700 loss=66761.325714 time: 29.871082
[Epoch 10] train=0.589163 val_top1=0.543300 val_top5=0.885000 loss=64172.533295 time: 29.885894
[Epoch 11] train=0.604407 val_top1=0.561500 val_top5=0.888300 loss=61725.380646 time: 29.835218
[Epoch 12] train=0.617027 val_top1=0.580200 val_top5=0.898000 loss=59726.095947 time: 29.857635
[Epoch 13] train=0.629347 val_top1=0.594600 val_top5=0.908100 loss=57732.052277 time: 29.997164
[Epoch 14] train=0.639784 val_top1=0.596700 val_top5=0.906600 loss=55863.195343 time: 29.878965
[Epoch 15] train=0.652083 val_top1=0.560000 val_top5=0.893100 loss=53978.690262 time: 29.810983
[Epoch 16] train=0.660196 val_top1=0.601400 val_top5=0.901200 loss=52754.178818 time: 30.034416
[Epoch 17] train=0.669091 val_top1=0.621000 val_top5=0.920200 loss=51214.760147 time: 31.455052
[Epoch 18] train=0.678245 val_top1=0.636800 val_top5=0.919400 loss=49773.153076 time: 29.966156
[Epoch 19] train=0.683954 val_top1=0.631800 val_top5=0.919900 loss=48549.228302 time: 29.836674
[Epoch 20] train=0.691026 val_top1=0.624100 val_top5=0.914200 loss=47435.863724 time: 29.919647
[Epoch 21] train=0.702224 val_top1=0.622300 val_top5=0.908000 loss=45834.015076 time: 29.861847
[Epoch 22] train=0.705449 val_top1=0.640900 val_top5=0.929800 loss=45098.390121 time: 29.884553
[Epoch 23] train=0.713722 val_top1=0.662000 val_top5=0.935800 loss=44045.327087 time: 29.848559
