Imports successful
Model Init Done.
Preprocessing Step Successful.
Initialization of train_data and val_data successful.
Per Device Batch Size: 256
Using rmsprop Optimizer
{'learning_rate': 0.001, 'gamma1': 0.9, 'gamma2': 0.9, 'epsilon': 1e-08}
Training loop started for 120 epochs:
[Epoch 0] train=0.142508 val_top1=0.189000 val_top5=0.576400 loss=141505.368835 time: 31.214816
[Epoch 1] train=0.268389 val_top1=0.331600 val_top5=0.726600 loss=117457.138855 time: 30.974991
[Epoch 2] train=0.348097 val_top1=0.389300 val_top5=0.787800 loss=103796.058777 time: 31.036045
[Epoch 3] train=0.404327 val_top1=0.374700 val_top5=0.750900 loss=94527.743988 time: 31.020794
[Epoch 4] train=0.446595 val_top1=0.444300 val_top5=0.806400 loss=87498.514740 time: 31.048399
[Epoch 5] train=0.481470 val_top1=0.457400 val_top5=0.837000 loss=81598.214203 time: 31.272044
[Epoch 6] train=0.509315 val_top1=0.501900 val_top5=0.849600 loss=77235.158173 time: 31.297251
[Epoch 7] train=0.530970 val_top1=0.427900 val_top5=0.813400 loss=73514.378845 time: 31.239605
[Epoch 8] train=0.553446 val_top1=0.460700 val_top5=0.840000 loss=69976.584686 time: 31.091743
[Epoch 9] train=0.566567 val_top1=0.458000 val_top5=0.839900 loss=67444.952057 time: 32.685214
[Epoch 10] train=0.582512 val_top1=0.549400 val_top5=0.886600 loss=64951.537659 time: 31.115143
[Epoch 11] train=0.598518 val_top1=0.495100 val_top5=0.856900 loss=62533.472092 time: 31.215717
[Epoch 12] train=0.609776 val_top1=0.570200 val_top5=0.895300 loss=60609.852173 time: 32.658192
[Epoch 13] train=0.621715 val_top1=0.513700 val_top5=0.858100 loss=58456.965195 time: 30.972749
[Epoch 14] train=0.634175 val_top1=0.577000 val_top5=0.896000 loss=56610.489090 time: 31.031673
[Epoch 15] train=0.644511 val_top1=0.592200 val_top5=0.903500 loss=55003.670319 time: 31.260502
[Epoch 16] train=0.652985 val_top1=0.596200 val_top5=0.917100 loss=53310.474487 time: 31.128752
[Epoch 17] train=0.664443 val_top1=0.619500 val_top5=0.915200 loss=51946.212036 time: 31.105630
[Epoch 18] train=0.670533 val_top1=0.573800 val_top5=0.895200 loss=50827.693756 time: 31.198894
[Epoch 19] train=0.678285 val_top1=0.641400 val_top5=0.924400 loss=49546.404800 time: 31.181296
[Epoch 20] train=0.687941 val_top1=0.631300 val_top5=0.927500 loss=48150.880096 time: 31.416986
[Epoch 21] train=0.695773 val_top1=0.606600 val_top5=0.911400 loss=47026.536667 time: 31.222007
[Epoch 22] train=0.701863 val_top1=0.630500 val_top5=0.918500 loss=45782.298309 time: 31.266992
[Epoch 23] train=0.710597 val_top1=0.655600 val_top5=0.930200 loss=44560.596222 time: 31.016474
[Epoch 24] train=0.713101 val_top1=0.656800 val_top5=0.930500 loss=43969.646484 time: 31.030168
[Epoch 25] train=0.722055 val_top1=0.643500 val_top5=0.926300 loss=42673.543045 time: 31.113288
[Epoch 26] train=0.726102 val_top1=0.638100 val_top5=0.920600 loss=41861.648834 time: 31.103266
[Epoch 27] train=0.728506 val_top1=0.640500 val_top5=0.919200 loss=41341.887253 time: 31.408165
[Epoch 28] train=0.736999 val_top1=0.645900 val_top5=0.928700 loss=40291.885193 time: 31.090979
[Epoch 29] train=0.740144 val_top1=0.654900 val_top5=0.929600 loss=39505.368027 time: 31.117989
[Epoch 30] train=0.745813 val_top1=0.669400 val_top5=0.936100 loss=38693.412476 time: 31.168884
[Epoch 31] train=0.750721 val_top1=0.652700 val_top5=0.925200 loss=37918.799408 time: 31.109346
[Epoch 32] train=0.755308 val_top1=0.662000 val_top5=0.929800 loss=37522.075378 time: 31.169707
[Epoch 33] train=0.760497 val_top1=0.678000 val_top5=0.935600 loss=36194.623215 time: 31.339154
